citys                                      ,content                                                                                                                                                                                                                                                                                                                                                                          ,evaluate,labs,nams           ,scores,times          ,user_info                                                          ,votes
['山西太原']                                   ,如果你不喜欢这部电影，说明他不是为你准备的，故事的终章是为读过故事的人准备的                                                                                                                                                                                                                                                                                                                                           ,力荐      ,看过  ,棠枫海            ,['50'],2019/4/24 2:23 ,"['146803809 ', ' 2016-06-08加入']"                                  ,33489
['北京']                                     ,我是一个90后，我曾经很羡慕“上一代人”：40年前的观众，他们的影院里有星战正传三部曲的落幕；20年前的观众，能在影院里看到指环王系列的终章。影迷们的悲欢并不相通，但现在我们也有了共同的记忆：漫威电影宇宙。谢谢你，《复仇者联盟》。                                                                                                                                                                                                                                                              ,推荐      ,看过  ,Tel            ,['40'],2019/4/24 0:11 ,"['164105540 ', ' 2017-07-21加入']"                                  ,18139
['江苏南京']                                   ,"托尼说好要回归家庭、陪伴家人，可最终还是选择了重出江湖，因为责任和使命，因为“我是钢铁侠”。
美队曾经错过了和卡特的约会，错过陪伴卡特的70年，后来又出席卡特的葬礼，亲自送挚爱上路，感谢导演给了他一个完美的结局。
黑寡妇高尚、豪迈、英勇、无畏，和钢铁侠并列最伟大的复仇者。
雷神和母亲好好告别、托尼和父亲握手言和，让人热泪盈眶。
美队弥补了一生中最大的遗憾；
班纳和浩克和解；
鹰眼与家人团聚；
黑寡妇没有家人，因为复仇者就是她的家人……
结局太完美也太催泪了。
《复联3》化灰英雄集体回归的一幕气势磅礴，荡气回肠，规模相比《复联3》提高了至少五倍。
尤其是“妇联”出场太惊艳了，完美诠释女性力量。
十一年布局，22部电影，在《复联4》画上圆满的句号。
借用摩根·史塔克的话：漫威我爱你三千遍！"                                                                                                                                                                                                                                                                                                                      ,力荐      ,看过  ,凌睿             ,['50'],2019/4/24 0:01 ,"['lingrui1995 ', ' 2012-08-07加入']"                                ,14212
['重庆']                                     ,钢铁侠成为了美队，美队活成了钢铁侠。                                                                                                                                                                                                                                                                                                                                                               ,力荐      ,看过  ,Rafe           ,['50'],2019/4/24 3:05 ,"['Rafe0323 ', ' 2015-02-27加入']"                                   ,12621
[]                                         ,献给我人生中最美好的十一年。谢谢你，漫威，谢谢你让我的青春有了一个最完美的结局                                                                                                                                                                                                                                                                                                                                          ,力荐      ,看过  ,。              ,['50'],2019/4/24 0:00 ,"['186208874 ', ' 2018-10-21加入']"                                  ,12770
['上海']                                     ,谁能想到是一只老鼠拯救了地球呢？                                                                                                                                                                                                                                                                                                                                                                 ,力荐      ,看过  ,KarSa          ,['50'],2019/4/24 4:52 ,"['karsa ', ' 2011-03-10加入']"                                      ,11444
['云南昆明']                                   ,"“I AM IRONMAN! ”
既是开始也是结束。谢谢钢铁侠，谢谢漫威给我们带来的欢笑、泪水、感动以及爱你的3000个日日夜夜。"                                                                                                                                                                                                                                                                                                                                ,力荐      ,看过  ,昊昊的说。          ,['50'],2019/4/24 2:50 ,"['61440451 ', ' 2012-05-17加入']"                                   ,10615
[]                                         ,五星全给黑寡妇，她是最伟大的复仇者！！！                                                                                                                                                                                                                                                                                                                                                             ,力荐      ,看过  ,X教授的傻儿子        ,['50'],2019/4/24 3:30 ,"['agentmovie666 ', ' 2015-01-08加入']"                              ,9120
[]                                         ,I AM IRONMAN.                                                                                                                                                                                                                                                                                                                                                                    ,力荐      ,看过  ,雁落孤山           ,['50'],2019/4/24 2:52 ,"['123229428 ', ' 2015-03-19加入']"                                  ,9237
['河南周口']                                   ,凡人之躯 比肩神明 最后真的泪目                                                                                                                                                                                                                                                                                                                                                                 ,力荐      ,看过  ,梅西             ,['50'],2019/4/24 2:40 ,"['145575037 ', ' 2016-05-09加入']"                                  ,8864
