citys                                      ,content                                                                                                                                                                                                                                                                                                                                                             ,evaluate,labs,nams           ,scores,times          ,user_info                                             ,votes
['广东广州']                                   ,"不打感情分也就合格水准，通篇流水账观感还不如第三部，虽然我一直认为这类片无所谓剧透，不过为了尊重大家不多说了，自己看便是。
最后说一下，钢铁侠作为头号一哥很好地完成了支撑复联的任务，而这个女拳队长无论角色和定位都是彻头彻尾的笑话，新10年靠这种角色基本完蛋。"                                                                                                                                                                                                                                                                                                ,还行      ,看过  ,小轨             ,['30'],2019/4/24 3:05 ,"['156132175 ', ' 2017-01-08加入']"                     ,13464
['陕西西安']                                   ,三个小时剧情太拖沓，成了七龙珠寻宝了，堆砌拼凑的剧情，真是不知道浪费睡觉时间来看首映。                                                                                                                                                                                                                                                                                                                         ,还行      ,看过  ,感谢政府感谢党        ,['30'],2019/4/24 1:46 ,"['3677758 ', ' 2009-02-21加入']"                       ,2446
[]                                         ,复联3是一场寓言故事般的黑色歌剧，惊艳不为过。当所有人都在猜想复联4将用何种巧妙震撼的手法颠覆玩大了的复联3“真结局”，结果你发现他们压根没有准备在这个环节下功夫，只是以普罗大众的态度尽可能回归堆砌更多漫威内容，生拉硬扯直接放弃艺术输出，同时恭喜哲学家灭霸重新喜提服务剧情专用脸谱化廉价反派称号，只能说情怀爆表，电影不及格。                                                                                                                                                                                                  ,还行      ,看过  ,宇宙电影患者         ,['30'],2019/4/24 4:24 ,"['53744550 ', ' 2011-08-12加入']"                      ,1470
['重庆']                                     ,抱歉，这谢幕我实在吹不出口，剧情逻辑bug我都不care了，人物ooc和潦草处理真的不能接受。                                                                                                                                                                                                                                                                                                                     ,还行      ,看过  ,小人物            ,['30'],2019/4/24 7:51 ,"['Janexrw ', ' 2008-07-18加入']"                       ,1321
['江苏南京']                                   ,冷静下来理性分析后，文戏拍的着实糟糕，过于依赖情怀对电影本身来说影响是坏的，同时在逻辑上也可以发现很多很多的问题。最后一场大战好看，但是也趋于一般水平，而引起我情绪跌宕主要是由喜爱人物的生死带来的。                                                                                                                                                                                                                                                                 ,还行      ,看过  ,Hashiku        ,['30'],2019/4/24 5:25 ,"['67502742 ', ' 2012-12-22加入']"                      ,773
"['Zürich, Switzerland']"                  ,对漫威宇宙无感、对超级英雄无感、对好莱坞爆米花无感、对超级动作大片无感的我，还是乖乖滴跟风刷了，原因只有一个：这百年一遇的卡司阵容实在是找不到拒绝的理由。                                                                                                                                                                                                                                                                                       ,还行      ,看过  ,平成御宅           ,['30'],2019/4/24 0:27 ,"['christan1987 ', ' 2011-03-07加入']"                  ,443
['北京']                                     ,文戏拍的确实糟糕，粉丝向的处理和运用，对路人真是不友好，过于依赖情怀对电影本身来说是坏的，同时在逻辑上也有很多问题和误区，罔顾时间悖论的时空旅行，让时间线变得空前混乱，大篇幅的漫威10年重要角色重聚，拯救世界变得空前儿戏，用最笨拙的方式自我致敬，却是最被粉丝买账的行径。摘除粉丝滤镜，全程流水账记事，角色牺牲在意料之中，但这样对角色生死大权的操控，还是不能附带所有的情感感同，当生命变成某种可以随意篡改的东西，它的诞生或者消逝就不会对观众产生太大的情感冲击。对于同样翘首企盼这部电影的我，这回面对所有电影院里的抽泣和痛哭，有种彻头彻尾局外人的感觉，这场悲剧，是对青春和情怀的一次过度消费，是漫威宇宙一次自我的重复致敬，它精明的调动了大众现下可拨弄到的情绪， 但我们是该警惕创作者再这样居高临下的操控了      ,还行      ,看过  ,张咏轩Wayne?      ,['30'],2019/4/24 10:36,"['55617091 ', ' 2011-10-29加入']"                      ,356
['北京']                                     ,3.5。1.我们早已习惯了等彩蛋，这次却偏偏没有彩蛋。2.比初代超级英雄纷纷离场更让人难过的是，……涉剧透！3.对漫威迷而言，真的是十年一梦，美队雷神浩克寡姐鹰眼各有各的泪点，甚至独守花园的灭霸。4.试想，倘若惊奇队长始终在场，又会是怎样一番局面呢？                                                                                                                                                                                                                                       ,还行      ,看过  ,陆支羽            ,['30'],2019/4/24 3:58 ,"['luzhiyu ', ' 2008-08-30加入']"                       ,217
['广东广州']                                   ,确实是粉丝电影，比神奇动物2还要粉丝向，对超英没兴趣对演员没兴趣的，看不看无所谓了，特效也没多炸裂。                                                                                                                                                                                                                                                                                                                  ,还行      ,看过  ,文帙三            ,['30'],2019/4/24 8:31 ,"['136017171 ', ' 2015-10-14加入']"                     ,215
['Maldives']                               ,拍的真是一般，高分多数都是情怀罢了。                                                                                                                                                                                                                                                                                                                                                  ,还行      ,看过  ,C R U I S E    ,['30'],2019/4/24 3:20 ,"['vulgarianvv ', ' 2012-06-19加入']"                   ,201
